Latitude_WGS84,Longitude_WGS84,Elev_m_NAVD88
41.539529,-83.691212,176.92
41.539531,-83.691212,176.88
41.539532,-83.691211,176.84
41.539535,-83.691212,176.81
41.539538,-83.691212,176.77
41.539541,-83.691212,176.73
41.539544,-83.691212,176.68
41.539549,-83.691211,176.67
41.539552,-83.691212,176.63
41.539556,-83.691211,176.60
41.539560,-83.691210,176.65
41.539564,-83.691209,176.62
41.539568,-83.691207,176.61
41.539571,-83.691206,176.58
41.539575,-83.691203,176.63
41.539579,-83.691201,176.65
41.539581,-83.691199,176.69
41.539583,-83.691196,176.65
41.539585,-83.691195,176.65
41.539587,-83.691192,176.66
41.539588,-83.691190,176.67
41.539589,-83.691189,176.66
41.539590,-83.691188,176.69
41.539590,-83.691188,176.65
41.539590,-83.691188,176.68
41.539590,-83.691188,176.64
41.539590,-83.691188,176.69
41.539590,-83.691189,176.67
41.539590,-83.691190,176.67
41.539589,-83.691191,176.66
41.539589,-83.691193,176.66
41.539589,-83.691196,176.68
41.539589,-83.691198,176.69
41.539590,-83.691200,176.66
41.539590,-83.691202,176.67
41.539591,-83.691206,176.68
41.539592,-83.691208,176.72
41.539594,-83.691211,176.67
41.539595,-83.691213,176.67
41.539597,-83.691215,176.67
41.539599,-83.691217,176.66
41.539600,-83.691219,176.63
41.539602,-83.691221,176.64
41.539604,-83.691223,176.61
41.539607,-83.691225,176.57
41.539610,-83.691227,176.53
41.539614,-83.691229,176.45
41.539616,-83.691230,176.45
41.539620,-83.691232,176.40
41.539624,-83.691234,176.41
41.539627,-83.691235,176.48
41.539631,-83.691237,176.47
41.539634,-83.691238,176.53
41.539638,-83.691239,176.52
41.539642,-83.691240,176.52
41.539646,-83.691241,176.53
41.539649,-83.691242,176.52
41.539655,-83.691243,176.52
41.539659,-83.691244,176.55
41.539664,-83.691244,176.58
41.539667,-83.691245,176.57
41.539672,-83.691246,176.63
41.539677,-83.691247,176.62
41.539681,-83.691248,176.64
41.539688,-83.691249,176.64
41.539692,-83.691250,176.68
41.539697,-83.691250,176.64
41.539700,-83.691250,176.64
41.539704,-83.691251,176.61
41.539709,-83.691251,176.56
41.539713,-83.691252,176.64
41.539720,-83.691252,176.64
41.539724,-83.691253,176.64
41.539729,-83.691253,176.58
41.539736,-83.691253,176.57
41.539742,-83.691253,176.60
41.539749,-83.691253,176.41
41.539754,-83.691252,176.43
41.539759,-83.691252,176.23
41.539768,-83.691253,176.20
41.539776,-83.691254,176.23
41.539784,-83.691255,176.20
41.539791,-83.691257,176.19
41.539798,-83.691259,176.10
41.539805,-83.691262,176.19
41.539808,-83.691264,176.07
41.539815,-83.691267,176.19
41.539823,-83.691271,176.14
41.539829,-83.691274,176.11
41.539838,-83.691280,176.05
41.539844,-83.691284,176.03
41.539848,-83.691288,176.02
41.539855,-83.691291,176.00
41.539861,-83.691295,176.12
41.539867,-83.691300,176.09
41.539873,-83.691304,176.08
41.539879,-83.691308,176.04
41.539884,-83.691314,176.01
41.539890,-83.691319,176.02
41.539896,-83.691325,175.97
41.539899,-83.691328,176.01
41.539903,-83.691332,175.97
41.539908,-83.691336,175.96
41.539913,-83.691340,176.00
41.539920,-83.691345,175.99
41.539924,-83.691348,175.99
41.539930,-83.691353,175.95
41.539938,-83.691358,176.10
41.539943,-83.691361,176.08
41.539950,-83.691364,176.06
41.539957,-83.691368,176.09
41.539964,-83.691372,176.02
41.539968,-83.691374,176.04
41.539974,-83.691377,176.02
