East_m,North_m,Depth_m
567925.877,4470118.159,0.12
567927.605,4470118.762,0.275
567929.183,4470119.025,0.419
567929.635,4470119.011,0.511
567927.955,4470095.525,0.144
567928.038,4470092.161,0.162
567929.214,4470092.378,0.244
567930.046,4470092.575,0.382
567930.842,4470092.876,0.766
567923.623,4470084.619,0.269
567926.839,4470085.492,0.426
567927.493,4470085.678,0.295
567928.12,4470085.954,0.224
567928.982,4470086.204,0.276
567930.048,4470086.301,0.516
567930.852,4470086.192,0.702
567931.802,4470086.069,0.739
567932.642,4470086.102,0.681
567933.58,4470086.186,0.701
567934.426,4470086.46,0.782
567934.859,4470083.906,0.771
567933.594,4470083.3,0.853
567932.844,4470082.952,0.741
567932.172,4470082.642,0.711
567931.345,4470082.412,0.606
567930.194,4470082.151,0.477
567929.322,4470082.07,0.421
567928.459,4470081.867,0.454
567927.412,4470081.741,0.427
567926.461,4470078.577,0.362
567927.529,4470078.754,0.406
567928.662,4470079.101,0.423
567929.459,4470079.304,0.422
567930.606,4470079.542,0.495
567931.682,4470079.739,0.635
567932.743,4470079.788,0.733
567933.838,4470079.851,0.829
567934.709,4470079.912,0.892
567935.487,4470080.041,0.946
567935.773,4470078.122,0.865
567934.481,4470077.394,0.849
567933.624,4470076.883,0.729
567932.838,4470076.598,0.629
567932.137,4470076.384,0.524
567931.47,4470076.218,0.543
567930.798,4470075.966,0.424
567930.218,4470075.835,0.481
567929.248,4470075.622,0.478
567927.726,4470075.298,0.39
567926.386,4470075.041,0.124
567927.516,4470072.962,0.282
567928.362,4470073.216,0.387
567929.17,4470073.556,0.469
567929.848,4470073.747,0.567
567930.586,4470073.915,0.587
567931.365,4470074.038,0.509
567932.161,4470074.119,0.469
567932.876,4470074.217,0.521
567933.658,4470074.255,0.659
567934.312,4470074.376,0.793
567934.787,4470074.585,0.831
567935.495,4470074.798,0.897
567936.138,4470074.891,0.945
567936.33,4470073.363,0.93
567935.927,4470073.014,0.887
567934.871,4470072.272,0.849
567934.275,4470071.96,0.785
567933.633,4470071.651,0.751
567932.884,4470071.418,0.729
567932.067,4470071.086,0.69
567931.11,4470070.772,0.574
567930.223,4470070.502,0.431
567929.4,4470070.21,0.357
567928.638,4470069.872,0.349
567927.694,4470069.458,0.199
567928.821,4470067.325,0.325
567929.536,4470067.572,0.363
567930.211,4470067.723,0.466
567931.017,4470067.892,0.525
567931.693,4470068,0.581
567932.288,4470068.097,0.635
567932.915,4470068.169,0.657
567933.503,4470068.348,0.719
567934.285,4470068.46,0.736
567935.061,4470068.619,0.769
567935.607,4470068.673,0.83
567936.132,4470068.803,0.881
567937.44,4470067.51,0.872
567937.03,4470067.202,0.873
567936.409,4470066.449,0.817
567935.759,4470066.104,0.771
567935.22,4470065.792,0.737
567934.65,4470065.559,0.69
567933.989,4470065.277,0.71
567933.442,4470064.902,0.68
567932.523,4470064.57,0.586
567931.683,4470064.27,0.563
567930.932,4470063.918,0.487
567930.226,4470063.504,0.397
567929.573,4470063.265,0.204
567930.345,4470060.86,0.259
567930.983,4470061.072,0.416
567931.634,4470061.12,0.529
567932.323,4470061.182,0.602
567933.138,4470061.228,0.645
567933.933,4470061.339,0.638
567934.637,4470061.402,0.697
567935.39,4470061.436,0.744
567936.039,4470061.552,0.811
567936.643,4470061.394,0.893
567937.164,4470061.539,0.953
567937.957,4470059.668,0.918
567937.372,4470059.427,0.944
567936.455,4470058.822,0.901
567935.828,4470058.585,0.799
567935.121,4470058.372,0.764
567934.373,4470057.885,0.697
567933.57,4470057.469,0.661
567932.771,4470057.099,0.58
567932.005,4470056.904,0.414
567931.886,4470053.813,0.153
567933.019,4470054.238,0.418
567933.959,4470053.937,0.608
567934.6,4470054.002,0.714
567935.388,4470054.142,0.807
567936.308,4470054.213,0.862
567937.089,4470054.259,0.907
567937.672,4470054.311,0.901
567937.936,4470054.265,0.939
567938.953,4470052.899,0.926
567938.574,4470052.484,0.976
567937.984,4470051.961,1.008
567937.466,4470051.517,0.941
567936.932,4470051.196,0.903
567936.349,4470050.857,0.818
567935.577,4470050.518,0.682
567934.855,4470050.176,0.568
567933.996,4470049.76,0.337
567932.972,4470049.27,0.102
567934.891,4470046.772,0.167
567935.866,4470047.013,0.537
567936.62,4470047.206,0.703
567937.34,4470047.164,0.835
567938.061,4470047.179,0.966
567938.62,4470047.265,0.991
567939.718,4470045.038,1.053
567939.364,4470044.848,0.97
567938.944,4470044.389,0.813
567938.352,4470044.194,0.562
567937.932,4470044.01,0.409
567937.409,4470043.881,0.183
567937.996,4470041.71,0.127
567938.79,4470041.685,0.269
567939.483,4470041.974,0.526
567940.127,4470041.982,0.709
567940.64,4470042.258,0.895
567941.245,4470041.668,0.89
567940.817,4470041.331,0.748
567940.184,4470041.086,0.576
567939.664,4470040.826,0.391
567939.09,4470040.752,0.21
567938.372,4470040.614,0.041
567939.475,4470038.464,0.128
567940.549,4470038.72,0.452
567941.237,4470038.959,0.655
567941.689,4470039.146,0.775
567942.149,4470039.427,0.919
567943.003,4470038.32,1.032
567942.528,4470037.799,0.872
567942.052,4470037.675,0.823
567941.51,4470037.611,0.677
567941.01,4470037.523,0.512
567940.166,4470037.014,0.385
567939.737,4470034.974,0.58
567940.683,4470035.181,0.794
